index,Order,MS SubClass,MS Zoning,Lot Area,Lot Shape,Land Contour,Lot Config,Neighborhood,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Exter Qual,Foundation,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
0,1464,60,RL,9000,Reg,Lvl,Inside,NridgHt,1Fam,2Story,9,5,2008,2007,Hip,VinylSd,VinylSd,Gd,PConc,1584.545705,1120.32509,1300.152263,Ex,Y,SBrkr,864,0,1456,0.001999956,2,1,3,1,Ex,7,1,2.998007588,601.2550313,Y,0,0,5,2009,WD ,Normal,125000
2,2284,80,RL,9600,IR1,Lvl,Inside,NridgHt,1Fam,SLvl,6,7,2007,2007,Hip,VinylSd,VinylSd,TA,CBlock,941.8125635,157.2809138,570.016441,Ex,Y,SBrkr,1040,0,987,0.001999272,2,0,3,1,Gd,6,1,1.998008466,382.149226,Y,0,0,6,2008,WD ,Normal,170000
6,2447,20,RL,9600,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,6,1968,2007,Gable,MetalSd,MetalSd,TA,CBlock,570.9334325,452.3346469,661.3884093,TA,Y,SBrkr,1040,0,1092,0.001999824,1,0,3,1,TA,7,0,1.998003749,382.7740711,Y,0,0,7,2009,WD ,Normal,140000
7,326,20,RL,9600,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,7,2006,2006,Gable,VinylSd,VinylSd,Gd,PConc,997.833883,483.3766959,1216.428578,Ex,Y,SBrkr,864,0,864,0.001999591,2,0,3,1,Gd,6,0,1.998004414,395.7970109,Y,0,0,6,2007,WD ,Normal,290000
8,2163,20,RL,9600,Reg,Lvl,Inside,SawyerW,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,TA,PConc,0.000980634,1682.99977,1198.540361,Ex,Y,SBrkr,864,0,864,0.001999795,2,0,3,1,Gd,5,0,1.998003167,386.5035052,Y,0,0,8,2006,New,Normal,145000
11,2163,20,RL,9000,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,554.963863,489.0490506,622.2417539,Ex,Y,SBrkr,941,0,2358,1.001999087,2,0,3,1,TA,5,0,1.998002889,379.0980842,Y,0,0,7,2007,WD ,Normal,158000
13,2447,20,RL,7200,IR1,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,555.7827397,488.8393682,621.4175396,Ex,Y,SBrkr,930,0,1416,1.001999137,2,0,3,1,TA,5,0,1.998003031,378.758523,Y,0,0,7,2006,WD ,Normal,158000
16,378,60,RL,9000,Reg,Lvl,Inside,CollgCr,1Fam,2Story,6,5,2005,1950,Gable,VinylSd,VinylSd,TA,PConc,0.000882517,482.458621,580.4655945,Ex,Y,SBrkr,864,0,1456,0.001999679,2,1,3,1,Gd,7,1,1.99800259,371.7387466,Y,0,0,7,2006,WD ,Normal,158000
18,786,20,RL,6000,Reg,Lvl,Inside,OldTown,1Fam,1Story,4,5,1954,1950,Gable,VinylSd,VinylSd,TA,CBlock,0.00096991,149.4864651,572.5222903,TA,Y,SBrkr,864,0,1040,0.00199956,1,0,3,1,TA,6,0,0.998003013,210.3782779,Y,0,0,5,2006,WD ,Normal,153000
19,632,20,RL,6240,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1954,2005,Gable,VinylSd,HdBoard,TA,CBlock,585.5658828,478.2562491,636.4689583,Ex,Y,SBrkr,864,0,864,0.001999063,1,0,3,1,TA,5,0,0.998001109,185.8252809,Y,0,0,7,2006,WD ,Normal,110000
